Respondent ID,Select your industry.,,Select your company size.,In which global region are your business headquarters?,Select the closest option to your current job title.,,Has your organization increased the use of open source software over the last year?,"Which categories of open source software has your organization invested in the most in terms of projects, budget, and resources? (please pick top 5)",,,,,,,,,,,,,,,,,,What are the top reasons your organization uses open source software? (please pick top 3),,,,,,,,,,,,,What are your organization’s support challenges while using open source software?,,,,,,,,,,,Which of these open source Linux distributions does your organization use today to support your software infrastructure? (select all that apply),,,,,,,,,,,,,,,,Which of these open source infrastructure technologies does your organization use today to support your software infrastructure? (select all that apply),,,,,,,,,,,,,,,,,,,,,,,"On a scale of 1-10, with 10 being highest level of impact, how much did the Red Hat decision regarding source code availability for derivative distributions impact your infrastructure planning for 2024?",Please elaborate on why you selected that ranking.,Which of these cloud-native open source technologies does your organization use today? (select all that apply),,,,,,,,,,,,,,,,,,,,,,,Which open source frameworks does your organization use to build applications today? (select all that apply),,,,,,,,,,,,,,,,,,,,,,,,,,,,What is your organization's plan if there are newly disclosed vulnerabilities (CVEs) in Angular.js?,,Which technologies  does your organization use to build applications today? (select all that apply),,,,,,,,,,,,,,,,,,,,,,Which open source data technologies does your organization use today? (select all that apply),,,,,,,,,,,,,,,,,,,,,,,,,What are the main support challenges with the open source data technologies your organization is using? (Please pick your top 5.),,,,,,,,,,Which open source infrastructure automation and configuration tools does your organization use today? (select all that apply),,,,,,,,,,,,,,,,Which open source DevOps tools does your organization use today? (select all that apply),,,,,,,,,,,,,What are the main support challenges with the open source software your organization uses for CI/CD? (Please pick your top 3.),,,,,,,Which open source security tools does your organization use today? (select all that apply),,,,,,,,,,,,,,,,,,,,,,,,,,,Which is the most business-critical open source software in your organization? Please specify.,How are you addressing the shortage of open source software skills? (please pick top 3),,,,,,,,How would you describe the level of open source maturity in your organization (select all that apply)?,,,,,,,,,,Do you or your organization sponsor any of the following open source non-profit organizations? (Please select all that apply),,,,,,,,,,,,,,,,,
,Response,Other (please specify),Response,Response,Response,Other (please specify),Response,Analytics,Blockchain,Cloud and container technologies,Content management systems,Databases and data technologies,Desktop and personal productivity,DevOps / GitOps/ DeveSecOps tooling,Frameworks and tooling for AI/ML/DL,Middleware,Networking,Observability tools,Open source hardware,Operating Systems,Programming languages and frameworks,Security tools,Software Development Life Cycle (SDLC) tools,Storage technologies,Other (please specify),Functionality available to improve development velocity,Access to innovations and latest technologies,To modernize technology stack,Stable technology with community long-term support,"Fast moving / constant enhancements, releases, and patches","No license cost, overall cost reduction",Large selection of options for similar functionality,To reduce vendor lock-in,Community-oriented and transparent,"Ability to contribute to, and influence direction of, open source projects",Open standards and interoperability,Makes it easier to hire or retain employees,Other (please specify),Infrastructure scalability and performance issues,"Installations, upgrades, and configuration issues",Keeping up with updates and patches,Lack of high-level technical support,"Lack of skills, experience, and proficiency",Maintaining end-of-life versions,Maintaining security policies or compliance,No real-time technical support,Not enough personnel,Project team not responsive to suggestions or bug reports created by third parties,Lack of a clear community release support policy,AlmaLinux,Alpine Linux,Amazon Linux,Arch Linux,CentOS,CentOS Stream,Debian,Fedora,Kali Linux,Linux Mint,Navy Linux,OpenSUSE,Oracle Linux,Rocky Linux,Ubuntu,Other (please specify),ActiveMQ,Apache Camel,Apache EventMesh,Apache Fortress,Apache Helix,Apache HTTP,Apache Mesos,Apache Tomcat,Apache TomEE,Eclipse GlassFish,Eclipse Mosquitto,Jakarta EE,Eclipse Jetty,Eclipse Metro,Eclipse Paho,Eclipse Amlen,Eclipse Temurin,Eclipse Virgo,Gemini Web,Keycloak,NGINX,OpenEuler,Other (please specify),Open-Ended Response,Open-Ended Response,Cloud Foundry,Containerd,Docker,Eclipse Che,Eclipse JKube,Eclipse Kura,Etcd,Istio,Jaeger,Knative,Kubernetes,Kyverno,Linkerd,Longhorn,Nomad,OKD (Open source OpenShift),OpenStack,Podman,Prometheus,Quarkus,Rancher,Rook,Other (please specify),Angular 2 or newer,Angular.js,Django,Eclipse EMF,Eclipse Equinox,Jakarta EE,MicroProfile,Eclipse N4JS,Eclipse Scout,Eclipse Vert.x,Eclipse VIATRA,ExpressJS,Flask,Flutter,JQuery,Laminas,Laravel,.NET 5,.NET Framework/Core,PyTorch,React.js,Revel,Ruby on Rails,Spring/Spring Boot,Symfony,TensorFlow,Vue.js,Other (please specify),Response,Other (please specify),C#,C/C++,Eclipse Adoptium/Temurin,Eclipse Collections,Eclipse IDE,Eclipse OpenJ9,Eclipse Papyrus,Go,JavaScript,Julia,Kotlin,Node.js,OpenJDK,Oracle Java,Perl,PHP,Python,R,Ruby,Rust,Swift,Other (please specify),Apache Derby,Apache Flink,Apache Hadoop,Apache Kafka,Apache Solr,Apache Spark,Cassandra,CockroachDB,CouchDB,ElasticSearch,Fluentd,Grafana Loki,Hazelcast,InfluxDB,MariaDB,MongoDB,MySQL,Neo4j,OpenSearch,PostgreSQL,Redis,SQLite,Timescale,Not using any,Other (please specify),Not enough personnel,Personnel experience and proficiency,"Installation, upgrades, and configuration issues",Keeping up with updates and patches,Scalability issues,Distributed computing,Backups and recovery,Crashes or going offline,Commercial support cost,Lack of documentation,Puppet,Ansible,Chef,Salt,Terraform,Rancher,Kubespray,Kubeadm,KubeEdge,Helm,Zabbix,Rudder,Pulumi,OpenTofu,OtterDog,I'm not using any,Argo CD,Concourse,Drone,GitLab,Jenkins,Jenkins X,Spinnaker,Tekton,Travis CI,Zuul,Not open source CI/CD tool,Not using any,Other (please specify),Not enough personnel,Personnel experience and proficiency,"Installation, upgrades, and configuration issues",Keeping up with updates and patches,Scalability,Logging and auditing,Securing pipelines,AlienVault,CI Fuzz CLI,CodeQL,CycloneDX-CLI,Dependabot,Falco,Maven version plugin,Metasploit,Nikto,Nmap,OpenSSF Scorecard,OpenVAS,OSQuery,OSSEC,OSV-Scanner,OWASP Dependency-Track,PfSense,SLSA,Suricata,Syft and Grype,TheHive,Trivy,Vuls,Wazuh,ZAP,I Don't Know,Other (please specify),Open-Ended Response,Hiring experienced professionals,Providing internal or external training,Hiring external consultants/contractors,Hiring third party companies to do the job,Delaying projects with new open source technologies,I don’t know,We don't have a skills shortage,Other (please specify),Performs security scans to identify vulnerabilities in open source packages,Has open source security policies or compliance,Generates software bill of materials (SBOMs),Has experts for different open source technologies,Develops some new open source software in public git repos,Open sources previously closed source software,Has a legal team familiar with open source licensing,Contributes to open source projects and open source organizations,Has Innersource projects,Has an Open Source Program Office,Open Source Initiative (OSI),​​Eclipse Foundation​​     ​,Apache Software Foundation,AlmaLinux OS Foundation,Rocky Enterprise Software Foundation,Linux Foundation (or any of its foundations),​​​Python Software Foundation​​,"​​​Software In the Public Interest (SPI, sponsors of Debian)​​",Free Software Foundation,Free Software Foundation Europe,GNOME Foundation,KDE e.V.,Open Infrastructure Foundation,PHP Foundation,Software Freedom Conservancy,Individual open source projects or maintainers,I don’t know,Other (please specify)
1.14458E+11,"Banking, Insurance, or Financial Services",,100 to 499 employees,Europe,System Administrator,,"No, it remained the same",,,,,,,,,,,,,Operating Systems,,,,,,,,,,,"No license cost, overall cost reduction",,,Community-oriented and transparent,"Ability to contribute to, and influence direction of, open source projects",,,,Not Challenging,Not Challenging,Not Challenging,Not Challenging,Not Challenging,Not Challenging,Not Challenging,Not Challenging,Not Challenging,Not Challenging,Not Challenging,AlmaLinux,,,,CentOS,,,,,,,,,,,,,,,,,,,Apache Tomcat,Apache TomEE,,,,,,,,,,,,,,,10,,,,,,,,,,,Knative,,,,,,,,,Prometheus,,,,,,,,,,,,,,Eclipse Vert.x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oracle Java,,,,,,,,,,,,,,,,,,,,,,,,MongoDB,,,,,,SQLite,,,,Not enough personnel,Personnel experience and proficiency,,,,,,,,,Puppet,,,,,,,,,,,,,,,,,Concourse,,,,,,Tekton,,,,,,Not enough personnel,Personnel experience and proficiency,,,,,,,,,,,,,,,,OpenSSF Scorecard,,,,,,,SLSA,,,,,,,,,,суасусус,,,,,,,We don't have a skills shortage,,,,,,,Open sources previously closed source software,Has a legal team familiar with open source licensing,,,,,,,,,,,,,,,KDE e.V.,,,,,,
1.14458E+11,Consulting or Professional Services,,Under 100 employees,Europe,Developer/Engineer,,Yes,,,Cloud and container technologies,,,Desktop and personal productivity,DevOps / GitOps/ DeveSecOps tooling,,,,,,Operating Systems,Programming languages and frameworks,,,,,,,,,,,,To reduce vendor lock-in,,"Ability to contribute to, and influence direction of, open source projects",Open standards and interoperability,,,Somewhat Challenging,,Somewhat Challenging,Not Challenging,Somewhat Challenging,Somewhat Challenging,Not Challenging,Not Challenging,Not Challenging,Somewhat Challenging,Somewhat Challenging,,,,Arch Linux,,,Debian,,,Linux Mint,,,,,,,,,,,,,,,,,Eclipse Mosquitto,,,,Eclipse Paho,,,,,,NGINX,,,0,,,Containerd,,,,,,,,,,,,,,,,Podman,,,,,Eclipse Kanto,,,Django,,,,,,,,,,,,,,,,,,,,,,,,,Svelte,,,,,,,,,,Go,JavaScript,,,,,,,,Python,,,Rust,,,,,,,,,,,,,,,,InfluxDB,,,,,,PostgreSQL,,SQLite,,,,,Personnel experience and proficiency,,Keeping up with updates and patches,,Distributed computing,,,,,,,,,,,,,,,,,,,,I'm not using any,,,,GitLab,,,,,,,,,,,,"Installation, upgrades, and configuration issues",Keeping up with updates and patches,,,,,,,,,,,,,Nmap,,,,,,,,,,,,,,,,,,Linux,,,,,,I don’t know,,,,,Generates software bill of materials (SBOMs),Has experts for different open source technologies,Develops some new open source software in public git repos,,,Contributes to open source projects and open source organizations,,,,,,,,,,,,,,,,,,,I don’t know,
1.14458E+11,Government or Public Services,,"More than 5,000 employees",Europe,Other (please specify),specialist,Yes,,,Cloud and container technologies,Content management systems,Databases and data technologies,Desktop and personal productivity,,,,,,,,,,,,,,,To modernize technology stack,,,,,To reduce vendor lock-in,,,Open standards and interoperability,,,Somewhat Challenging,Somewhat Challenging,Not Challenging,Somewhat Challenging,Somewhat Challenging,Not Challenging,Somewhat Challenging,Not Challenging,Challenging,Somewhat Challenging,,,,,,,,,,,,,,Oracle Linux,,Ubuntu,Univention Corporate Server,,,,,,,,,,,,,,,,,Eclipse Temurin,,,Keycloak,NGINX,,,1,Not using RHEL distro at all.,,,Docker,,,,,,,,Kubernetes,,,Longhorn,,,OpenStack,Podman,,,Rancher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,don't know,,,,,,,,,,,,,,,,Oracle Java,,PHP,Python,,,Rust,,,,,,,Apache Solr,,,,,ElasticSearch,,Grafana Loki,,,MariaDB,,,,,PostgreSQL,,,,,,Not enough personnel,Personnel experience and proficiency,,,,,,,,Lack of documentation,Puppet,Ansible,,,Terraform,Rancher,,,,Helm,,,,,,,,,,GitLab,,,,,,,,,,Not enough personnel,Personnel experience and proficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I Don't Know,,"postfix, keycloak",Hiring experienced professionals,Providing internal or external training,,,,,,,,,,Has experts for different open source technologies,,,,Contributes to open source projects and open source organizations,,,,,,,,,,,,,,,,,,,I don’t know,
1.14458E+11,Other (please specify),Internet,Under 100 employees,Europe,Manager / Director,,"Yes, significantly",Analytics,,Cloud and container technologies,Content management systems,Databases and data technologies,,,,,,,,,,,,Storage technologies,,,Access to innovations and latest technologies,,,,"No license cost, overall cost reduction",,,Community-oriented and transparent,,,,,Somewhat Challenging,Not Challenging,Challenging,Somewhat Challenging,Not Challenging,Very Challenging,Very Challenging,Challenging,Not Challenging,Very Challenging,Challenging,,,,,,CentOS Stream,,,,,,,,,,,,,,,,Apache HTTP,,,,,,,,,,,,,,,NGINX,,,6,We’ll have to move all our websites to another infrastructure,,,Docker,,,,,,,,Kubernetes,,,,,,,,,,,,,,,,,,,,,,,,ExpressJS,,,JQuery,,,,,,React.js,,,,,,Vue.js,Astro,,,,,,,,,,,JavaScript,,,Node.js,,,,PHP,Python,,,,,,,,,,,,,,,,,,,,,,MySQL,,,PostgreSQL,,SQLite,,,,,,,Keeping up with updates and patches,,,,,,Lack of documentation,,,,,,,,,,,,,,,,I'm not using any,,,,GitLab,,,,,,,,,,,,,,,,Securing pipelines,,,,,,,,,,,,,,,,,,,,,,,,,,I Don't Know,,I don’t know ,,,,,,I don’t know,,,,,,,Develops some new open source software in public git repos,,,,Has Innersource projects,,,,,,,,,,,,,,,,,,I don’t know,
1.14458E+11,Other (please specify),unemployed ,Early-stage startup,United Kingdom,Other (please specify),unemployed software tester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.14458E+11,Education or Research,,"500 to 5,000 employees",Europe,Developer/Engineer,,"Yes, significantly",,,,,Databases and data technologies,,,,,,,Open source hardware,,,,,,,,Access to innovations and latest technologies,,,,"No license cost, overall cost reduction",,,,,,,,Somewhat Challenging,Challenging,Not Challenging,,Somewhat Challenging,Very Challenging,Challenging,Somewhat Challenging,Not Challenging,Somewhat Challenging,Somewhat Challenging,,,,,,,Debian,,Kali Linux,,,OpenSUSE,,,,,,,Apache EventMesh,,,Apache HTTP,,Apache Tomcat,,,,,,,,,,,,,,,,7,,,,,,Eclipse JKube,,,,,,,,Linkerd,,,,,,,,,,,,Angular.js,,,,,MicroProfile,,,,,,Flask,,,,,,,,,,,Spring/Spring Boot,,,,,We do not scan code for security vulnerabilities,,,,,,Eclipse IDE,,,Go,,,,,,,,,,,,Rust,,,,,,,,Apache Spark,Cassandra,,,,,,,InfluxDB,MariaDB,,,,,,,,,,,,,"Installation, upgrades, and configuration issues",,Scalability issues,,,Crashes or going offline,,,,,Chef,,,Rancher,,,,,,Rudder,,,,,,,Drone,,Jenkins,,,,,,Not open source CI/CD tool,,,,Personnel experience and proficiency,,Keeping up with updates and patches,,,,,CI Fuzz CLI,,CycloneDX-CLI,,,,,,,OpenSSF Scorecard,,,,OSV-Scanner,,,,,,,Trivy,,,,,,销售,Hiring experienced professionals,,,Hiring third party companies to do the job,,,,,Performs security scans to identify vulnerabilities in open source packages,,,,,Open sources previously closed source software,,Contributes to open source projects and open source organizations,,,,,Apache Software Foundation,,,,​​​Python Software Foundation​​,,Free Software Foundation,,,,,,,,,
1.14458E+11,Nonprofit,,Early-stage startup,Europe,Developer/Engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1445E+11,Technology,,Under 100 employees,Europe,Architect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.14458E+11,Technology,,"500 to 5,000 employees",Europe,Developer/Engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
